lot_id,supplier_id,material_id,inspection_date,moisture_pct,purity_pct,viscosity,pass_fail,risk_label
LOT-81-016,SUP-0081,VR-4400,2025-12-20,0.0852,98.22,145.0,1,Low
LOT-81-017,SUP-0081,VR-4400,2025-12-22,0.072,98.11,142.3,1,Low
LOT-81-018,SUP-0081,VR-4400,2025-12-24,0.0892,98.48,145.4,1,Low
LOT-81-019,SUP-0081,VR-4400,2025-12-26,0.084,97.91,143.6,1,Low
LOT-81-020,SUP-0081,VR-4400,2025-12-28,0.0788,98.2,141.7,1,Low
LOT-81-021,SUP-0081,VR-4400,2025-12-30,0.08,97.95,148.0,1,Low
LOT-81-022,SUP-0081,VR-4400,2026-01-01,0.0987,98.14,142.1,1,High
LOT-81-023,SUP-0081,VR-4400,2026-01-03,0.0944,98.26,145.8,1,High
LOT-81-024,SUP-0081,VR-4400,2026-01-05,0.0881,98.31,145.7,1,High
LOT-02-001,SUP-0102,AL-2024,2026-01-07,0.0578,98.96,136.2,1,Low
LOT-02-002,SUP-0102,AL-2024,2026-01-09,0.0601,99.02,136.2,1,Low
LOT-02-003,SUP-0102,AL-2024,2026-01-11,0.0556,99.22,140.8,1,Low
LOT-02-004,SUP-0102,AL-2024,2026-01-13,0.0669,98.87,141.2,1,Low
LOT-02-005,SUP-0102,AL-2024,2026-01-15,0.0569,99.1,136.9,1,Low
LOT-02-006,SUP-0102,AL-2024,2026-01-17,0.0575,99.06,135.7,1,Low
LOT-02-007,SUP-0102,AL-2024,2026-01-19,0.0564,99.24,135.3,1,Low
LOT-02-008,SUP-0102,AL-2024,2026-01-21,0.0524,99.36,139.4,1,Low
LOT-02-009,SUP-0102,AL-2024,2026-01-23,0.0656,99.23,138.0,1,Low
LOT-02-010,SUP-0102,AL-2024,2026-01-25,0.0656,99.45,136.8,1,Low
LOT-02-011,SUP-0102,AL-2024,2026-01-27,0.0532,99.09,140.1,1,Low
LOT-02-012,SUP-0102,AL-2024,2026-01-29,0.0587,99.39,135.3,1,Low
LOT-02-013,SUP-0102,AL-2024,2026-01-31,0.0538,99.4,141.0,1,Low
LOT-02-014,SUP-0102,AL-2024,2026-02-02,0.0649,99.3,139.2,1,Low
LOT-02-015,SUP-0102,AL-2024,2026-02-04,0.0534,99.53,137.9,1,Low
LOT-02-016,SUP-0102,AL-2024,2026-02-06,0.0694,99.06,137.7,1,Low
LOT-02-017,SUP-0102,AL-2024,2026-02-08,0.0531,99.36,138.4,1,Low
LOT-02-018,SUP-0102,AL-2024,2026-02-10,0.0552,99.19,141.0,1,Low
LOT-02-019,SUP-0102,AL-2024,2026-02-12,0.0561,99.31,140.2,1,Low
LOT-02-020,SUP-0102,AL-2024,2026-02-14,0.0557,99.0,134.7,1,Low
LOT-02-021,SUP-0102,AL-2024,2026-02-16,0.0603,99.04,138.6,1,Low
LOT-02-022,SUP-0102,AL-2024,2026-02-18,0.0689,99.46,135.5,1,Low
LOT-02-023,SUP-0102,AL-2024,2026-02-20,0.0559,99.38,140.1,1,Low
LOT-02-024,SUP-0102,AL-2024,2026-02-22,0.0591,99.21,139.4,1,Low
LOT-13-001,SUP-0113,ST-1008,2026-02-24,0.0558,99.54,139.2,1,Low
LOT-13-002,SUP-0113,ST-1008,2026-02-26,0.0692,99.08,140.6,1,Low
LOT-13-003,SUP-0113,ST-1008,2026-02-28,0.0608,99.49,135.7,1,Low
LOT-13-004,SUP-0113,ST-1008,2026-03-02,0.0678,99.01,137.4,1,Low
LOT-13-005,SUP-0113,ST-1008,2026-03-04,0.0529,98.85,134.7,1,Low
LOT-13-006,SUP-0113,ST-1008,2026-03-06,0.0617,99.22,139.6,1,Low
LOT-13-007,SUP-0113,ST-1008,2026-03-08,0.0592,99.23,139.4,1,Low
LOT-13-008,SUP-0113,ST-1008,2026-03-10,0.0668,99.3,137.7,1,Low
LOT-13-009,SUP-0113,ST-1008,2026-03-12,0.0527,99.24,138.6,1,Low
LOT-13-010,SUP-0113,ST-1008,2026-03-14,0.0671,99.41,139.3,1,Low
LOT-13-011,SUP-0113,ST-1008,2026-03-16,0.0558,99.41,138.7,1,Low
LOT-13-012,SUP-0113,ST-1008,2026-03-18,0.0629,99.0,134.8,1,Low
LOT-13-013,SUP-0113,ST-1008,2026-03-20,0.0638,99.36,139.2,1,Low
LOT-13-014,SUP-0113,ST-1008,2026-03-22,0.0684,99.24,141.4,1,Low
LOT-13-015,SUP-0113,ST-1008,2026-03-24,0.0616,99.2,138.3,1,Low
LOT-13-016,SUP-0113,ST-1008,2026-03-26,0.0588,98.87,138.0,1,Low
LOT-13-017,SUP-0113,ST-1008,2026-03-28,0.0536,98.95,138.3,1,Low
LOT-13-018,SUP-0113,ST-1008,2026-03-30,0.0599,99.48,135.2,1,Low
LOT-13-019,SUP-0113,ST-1008,2026-04-01,0.0633,98.93,138.6,1,Low
LOT-13-020,SUP-0113,ST-1008,2026-04-03,0.0552,99.3,140.6,1,Low
LOT-13-021,SUP-0113,ST-1008,2026-04-05,0.0672,98.95,137.2,1,Low
LOT-13-022,SUP-0113,ST-1008,2026-04-07,0.0676,99.51,139.2,1,Low
LOT-13-023,SUP-0113,ST-1008,2026-04-09,0.0574,98.99,138.8,1,Low
LOT-13-024,SUP-0113,ST-1008,2026-04-11,0.0665,99.23,141.5,1,Low
LOT-19-001,SUP-0119,VR-4400,2026-04-13,0.0674,98.97,134.7,1,Low
LOT-19-002,SUP-0119,VR-4400,2026-04-15,0.0675,98.88,140.2,1,Low
LOT-19-003,SUP-0119,VR-4400,2026-04-17,0.0525,99.22,136.0,1,Low
LOT-19-004,SUP-0119,VR-4400,2026-04-19,0.0578,99.37,139.7,1,Low
LOT-19-005,SUP-0119,VR-4400,2026-04-21,0.0638,99.38,141.0,1,Low
LOT-19-006,SUP-0119,VR-4400,2026-04-23,0.0607,99.35,138.1,1,Low
LOT-19-007,SUP-0119,VR-4400,2026-04-25,0.0557,99.1,138.2,1,Low
LOT-19-008,SUP-0119,VR-4400,2026-04-27,0.0577,99.01,138.6,1,Low
LOT-19-009,SUP-0119,VR-4400,2026-04-29,0.054,99.38,135.1,1,Low
LOT-19-010,SUP-0119,VR-4400,2026-05-01,0.0599,99.18,136.9,1,Low
LOT-19-011,SUP-0119,VR-4400,2026-05-03,0.0639,99.1,136.6,1,Low
LOT-19-012,SUP-0119,VR-4400,2026-05-05,0.058,99.24,135.8,1,Low
LOT-19-013,SUP-0119,VR-4400,2026-05-07,0.0644,98.93,135.7,1,Low
LOT-19-014,SUP-0119,VR-4400,2026-05-09,0.069,99.18,138.7,1,Low
LOT-19-015,SUP-0119,VR-4400,2026-05-11,0.0639,98.9,135.0,1,Low
LOT-19-016,SUP-0119,VR-4400,2026-05-13,0.0656,99.26,135.6,1,Low
LOT-19-017,SUP-0119,VR-4400,2026-05-15,0.0567,98.93,138.4,1,Low
LOT-19-018,SUP-0119,VR-4400,2026-05-17,0.0545,99.11,138.6,1,Low
LOT-19-019,SUP-0119,VR-4400,2026-05-19,0.0585,99.15,137.2,1,Low
LOT-19-020,SUP-0119,VR-4400,2026-05-21,0.056,98.91,136.9,1,Low
LOT-19-021,SUP-0119,VR-4400,2026-05-23,0.0612,98.87,137.3,1,Low
LOT-19-022,SUP-0119,VR-4400,2026-05-25,0.0677,99.48,136.3,1,Low
LOT-19-023,SUP-0119,VR-4400,2026-05-27,0.0676,99.14,136.9,1,Low
LOT-19-024,SUP-0119,VR-4400,2026-05-29,0.064,98.91,140.6,1,Low
