cycle_date,device_type,firmware_from,firmware_to,region,test_pass_rate,schema_drift_events,upgrade_duration_actual_min,post_upgrade_incidents_30d,outage_occurred,outage_severity
2024-07-29,CaaS-Node-Type-B,23.06,23.12,Midwest,0.55,0,379,0,False,none
2024-07-29,CaaS-Node-Type-C,24.06,24.12,South_Central,0.938,2,178,3,False,none
2024-07-29,CaaS-Node-Type-C,22.12,23.12,South_Central,0.939,0,158,0,False,none
2024-07-30,CaaS-Node-Type-A,23.06,24.01,Southwest,0.951,1,307,0,False,none
2024-07-30,CaaS-Node-Type-A,24.01,24.06,South_Central,0.942,1,299,4,False,none
2024-07-30,CaaS-Node-Type-B,24.01,24.06,Southeast,0.855,0,363,1,False,none
2024-07-30,CaaS-Node-Type-C,23.06,24.01,Midwest,0.924,0,273,0,False,none
2024-07-30,CaaS-Node-Type-B,24.01,24.06,Southwest,0.887,1,307,2,False,none
2024-07-31,CaaS-Node-Type-B,23.12,24.06,Northwest,0.907,0,124,1,False,none
2024-07-31,CaaS-Node-Type-A,24.01,24.12,South_Central,0.936,1,204,1,False,none
2024-08-01,CaaS-Node-Type-A,22.12,23.06,Southwest,0.897,0,300,12,True,minor
2024-08-01,CaaS-Node-Type-C,23.06,24.01,Northeast,0.858,0,248,8,False,none
2024-08-01,CaaS-Node-Type-A,23.06,23.12,Midwest,0.909,1,268,3,False,none
2024-08-02,CaaS-Node-Type-B,23.06,24.01,Midwest,0.55,3,304,1,False,none
2024-08-02,CaaS-Node-Type-B,23.06,24.01,Midwest,0.55,0,129,4,False,none
2024-08-02,CaaS-Node-Type-C,22.12,23.06,Midwest,0.957,0,198,0,False,none
2024-08-03,CaaS-Node-Type-B,24.06,24.12,Southeast,0.857,2,330,0,False,none
2024-08-03,CaaS-Node-Type-C,24.06,24.12,South_Central,0.9,0,178,2,False,none
2024-08-04,CaaS-Node-Type-C,24.06,24.12,Northeast,0.885,0,229,3,False,none
2024-08-05,CaaS-Node-Type-A,22.12,23.06,Southwest,0.906,0,258,0,False,none
2024-08-06,CaaS-Node-Type-C,23.12,24.01,Midwest,0.934,0,369,1,False,none
2024-08-06,CaaS-Node-Type-A,22.12,23.06,Midwest,0.89,0,337,1,False,none
2024-08-07,CaaS-Node-Type-A,24.01,24.06,Northeast,0.895,2,150,3,False,none
2024-08-07,CaaS-Node-Type-C,24.01,24.06,Midwest,0.918,2,255,0,False,none
2024-08-08,CaaS-Node-Type-B,23.06,23.12,Southeast,0.55,0,229,0,False,none
2024-08-08,CaaS-Node-Type-A,23.12,24.01,South_Central,0.933,0,231,2,False,none
2024-08-08,CaaS-Node-Type-A,23.12,24.06,Northeast,0.858,0,163,1,False,none
2024-08-09,CaaS-Node-Type-B,24.06,24.12,Southeast,0.902,1,312,0,False,none
2024-08-09,CaaS-Node-Type-A,24.06,24.12,Southwest,0.954,3,334,0,False,none
2024-08-10,CaaS-Node-Type-A,24.01,24.06,Southeast,0.928,2,324,4,False,none
2024-08-10,CaaS-Node-Type-B,23.06,23.12,Northwest,0.55,3,141,0,False,none
2024-08-11,CaaS-Node-Type-A,23.12,24.06,South_Central,0.937,0,378,1,False,none
2024-08-11,CaaS-Node-Type-A,23.12,24.06,South_Central,0.93,0,258,2,False,none
2024-08-13,CaaS-Node-Type-B,24.06,24.12,South_Central,0.852,0,217,4,False,none
2024-08-13,CaaS-Node-Type-B,24.01,24.06,Southeast,0.883,2,195,0,False,none
2024-08-13,CaaS-Node-Type-A,24.01,24.06,Southwest,0.901,0,163,1,False,none
2024-08-13,CaaS-Node-Type-C,22.12,23.06,Northeast,0.831,1,367,1,False,none
2024-08-15,CaaS-Node-Type-A,23.06,23.12,Northwest,0.944,0,319,0,False,none
2024-08-15,CaaS-Node-Type-C,24.01,24.06,Northwest,0.897,1,194,0,False,none
2024-08-15,CaaS-Node-Type-A,24.01,24.12,Northwest,0.914,1,367,12,True,minor
2024-08-15,CaaS-Node-Type-C,24.01,24.12,South_Central,0.888,0,281,5,False,none
2024-08-15,CaaS-Node-Type-C,24.01,24.12,South_Central,0.911,1,328,0,False,none
2024-08-16,CaaS-Node-Type-C,22.12,23.12,Northeast,0.851,1,328,3,False,none
2024-08-16,CaaS-Node-Type-A,24.01,24.06,Midwest,0.883,0,339,1,False,none
2024-08-17,CaaS-Node-Type-A,24.06,24.12,Southwest,0.922,1,133,3,False,none
2024-08-18,CaaS-Node-Type-A,22.12,23.06,Midwest,0.916,1,334,5,False,none
2024-08-18,CaaS-Node-Type-C,22.12,23.12,South_Central,0.937,1,310,0,False,none
2024-08-18,CaaS-Node-Type-C,23.06,24.01,Southwest,0.957,0,337,2,False,none
2024-08-18,CaaS-Node-Type-B,23.12,24.01,Southeast,0.884,0,216,0,False,none
2024-08-18,CaaS-Node-Type-A,23.12,24.06,South_Central,0.918,0,257,0,False,none
2024-08-19,CaaS-Node-Type-A,23.12,24.06,Southeast,0.896,0,300,2,False,none
2024-08-20,CaaS-Node-Type-B,23.06,23.12,Midwest,0.55,0,121,0,False,none
2024-08-21,CaaS-Node-Type-B,22.12,23.06,Northwest,0.879,1,362,2,False,none
2024-08-21,CaaS-Node-Type-A,22.12,23.06,Southeast,0.895,1,234,0,False,none
2024-08-21,CaaS-Node-Type-B,24.01,24.12,Southeast,0.907,0,333,1,False,none
2024-08-22,CaaS-Node-Type-B,23.12,24.06,Northeast,0.833,2,290,1,False,none
2024-08-22,CaaS-Node-Type-B,22.12,23.12,Midwest,0.855,2,152,1,False,none
2024-08-23,CaaS-Node-Type-C,23.12,24.01,South_Central,0.948,0,170,0,False,none
2024-08-23,CaaS-Node-Type-A,23.06,24.01,South_Central,0.953,0,247,1,False,none
2024-08-23,CaaS-Node-Type-C,24.06,24.12,Midwest,0.885,0,311,3,False,none
2024-08-23,CaaS-Node-Type-B,24.06,24.12,Midwest,0.887,0,160,4,False,none
2024-08-24,CaaS-Node-Type-B,23.12,24.01,Southeast,0.905,2,120,3,False,none
2024-08-25,CaaS-Node-Type-A,22.12,23.06,Southwest,0.885,2,237,2,False,none
2024-08-25,CaaS-Node-Type-B,24.01,24.12,Midwest,0.856,1,143,0,False,none
2024-08-26,CaaS-Node-Type-A,22.12,23.06,Northwest,0.914,0,308,0,False,none
2024-08-26,CaaS-Node-Type-C,22.12,23.06,Southwest,0.909,1,347,2,False,none
2024-08-26,CaaS-Node-Type-C,24.06,24.12,Midwest,0.891,0,349,0,False,none
2024-08-26,CaaS-Node-Type-C,23.06,23.12,Southeast,0.944,0,354,0,False,none
2024-08-26,CaaS-Node-Type-A,23.06,24.01,Northwest,0.948,0,197,0,False,none
2024-08-27,CaaS-Node-Type-A,23.12,24.06,Midwest,0.928,0,226,2,False,none
2024-08-28,CaaS-Node-Type-A,24.01,24.06,South_Central,0.952,0,185,0,False,none
2024-08-29,CaaS-Node-Type-B,23.06,23.12,South_Central,0.55,0,228,0,False,none
2024-08-29,CaaS-Node-Type-B,24.01,24.06,Northwest,0.865,0,357,1,False,none
2024-08-30,CaaS-Node-Type-B,22.12,23.12,Southeast,0.88,0,122,0,False,none
2024-08-30,CaaS-Node-Type-C,23.12,24.06,Southeast,0.886,0,123,1,False,none
2024-08-31,CaaS-Node-Type-B,23.12,24.06,Southwest,0.87,0,126,0,False,none
2024-09-01,CaaS-Node-Type-B,23.12,24.06,Northeast,0.8,0,289,3,False,none
2024-09-01,CaaS-Node-Type-B,24.01,24.06,Northeast,0.817,0,248,0,False,none
2024-09-01,CaaS-Node-Type-A,23.06,23.12,Northeast,0.888,0,201,3,False,none
2024-09-01,CaaS-Node-Type-C,22.12,23.12,Southwest,0.936,0,120,0,False,none
2024-09-02,CaaS-Node-Type-C,24.01,24.12,South_Central,0.883,3,197,4,False,none
2024-09-02,CaaS-Node-Type-A,23.12,24.01,Southwest,0.894,0,174,1,False,none
2024-09-03,CaaS-Node-Type-B,23.12,24.01,South_Central,0.905,1,288,2,False,none
2024-09-03,CaaS-Node-Type-B,22.12,23.12,Midwest,0.902,0,302,0,False,none
2024-09-04,CaaS-Node-Type-C,22.12,23.12,Northwest,0.891,0,227,1,False,none
2024-09-05,CaaS-Node-Type-A,24.01,24.12,Northwest,0.921,0,315,8,False,none
2024-09-05,CaaS-Node-Type-C,24.01,24.06,Northwest,0.936,1,163,0,False,none
2024-09-05,CaaS-Node-Type-A,22.12,23.06,Southeast,0.888,0,192,4,False,none
2024-09-06,CaaS-Node-Type-A,23.12,24.01,Northwest,0.903,1,122,0,False,none
2024-09-06,CaaS-Node-Type-A,23.12,24.01,Northeast,0.838,1,327,0,False,none
2024-09-06,CaaS-Node-Type-C,22.12,23.06,Southwest,0.903,0,378,3,False,none
2024-09-06,CaaS-Node-Type-A,22.12,23.12,Northeast,0.906,0,200,3,False,none
2024-09-06,CaaS-Node-Type-A,24.01,24.06,Southwest,0.916,0,296,0,False,none
2024-09-06,CaaS-Node-Type-A,23.12,24.01,Southeast,0.948,0,291,0,False,none
2024-09-08,CaaS-Node-Type-B,24.01,24.06,South_Central,0.872,2,143,2,False,none
2024-09-08,CaaS-Node-Type-B,22.12,23.12,Northeast,0.863,0,214,0,False,none
2024-09-08,CaaS-Node-Type-A,23.06,23.12,Southeast,0.895,0,221,0,False,none
2024-09-08,CaaS-Node-Type-B,24.01,24.06,Southwest,0.86,0,145,1,False,none
2024-09-08,CaaS-Node-Type-A,23.06,23.12,Northwest,0.908,0,294,0,False,none
2024-09-09,CaaS-Node-Type-C,23.06,24.01,Northwest,0.942,2,172,0,False,none
2024-09-09,CaaS-Node-Type-C,23.12,24.01,Northwest,0.924,1,170,2,False,none
2024-09-09,CaaS-Node-Type-A,23.12,24.01,Midwest,0.907,0,181,0,False,none
2024-09-09,CaaS-Node-Type-B,24.01,24.12,Southeast,0.859,0,140,1,False,none
2024-09-10,CaaS-Node-Type-C,24.01,24.06,Southwest,0.958,2,212,1,False,none
2024-09-10,CaaS-Node-Type-A,23.12,24.01,South_Central,0.894,1,287,2,False,none
2024-09-10,CaaS-Node-Type-B,22.12,23.12,Midwest,0.886,0,137,0,False,none
2024-09-11,CaaS-Node-Type-B,22.12,23.06,Southeast,0.913,0,360,0,False,none
2024-09-11,CaaS-Node-Type-C,22.12,23.12,Northeast,0.843,2,302,8,False,none
2024-09-12,CaaS-Node-Type-B,24.01,24.12,Southeast,0.872,2,323,0,False,none
2024-09-12,CaaS-Node-Type-B,22.12,23.12,Northeast,0.839,0,141,1,False,none
2024-09-12,CaaS-Node-Type-B,22.12,23.12,South_Central,0.87,0,275,0,False,none
2024-09-12,CaaS-Node-Type-B,23.06,24.01,Southeast,0.55,0,271,2,False,none
2024-09-13,CaaS-Node-Type-C,22.12,23.06,South_Central,0.959,0,163,0,False,none
2024-09-13,CaaS-Node-Type-B,23.12,24.01,Midwest,0.907,1,222,2,False,none
2024-09-13,CaaS-Node-Type-B,23.06,23.12,Southwest,0.55,0,157,1,False,none
2024-09-13,CaaS-Node-Type-C,24.01,24.12,Midwest,0.934,1,209,2,False,none
2024-09-13,CaaS-Node-Type-C,23.12,24.01,South_Central,0.943,2,300,2,False,none
2024-09-14,CaaS-Node-Type-A,24.01,24.06,Midwest,0.934,0,276,0,False,none
2024-09-15,CaaS-Node-Type-B,22.12,23.12,Southwest,0.898,0,297,0,False,none
2024-09-15,CaaS-Node-Type-A,22.12,23.12,Northeast,0.853,0,191,8,False,none
2024-09-15,CaaS-Node-Type-C,24.01,24.06,Midwest,0.949,0,314,2,False,none
2024-09-15,CaaS-Node-Type-B,23.06,24.01,Northwest,0.55,2,234,0,False,none
2024-09-15,CaaS-Node-Type-C,23.12,24.01,Northwest,0.894,1,334,3,False,none
2024-09-16,CaaS-Node-Type-C,22.12,23.06,Northeast,0.835,0,175,0,False,none
2024-09-16,CaaS-Node-Type-C,23.12,24.01,Southwest,0.956,1,220,1,False,none
2024-09-16,CaaS-Node-Type-C,23.12,24.06,Northeast,0.836,0,184,3,False,none
2024-09-16,CaaS-Node-Type-C,24.01,24.12,Midwest,0.949,3,335,2,False,none
2024-09-17,CaaS-Node-Type-A,22.12,23.06,South_Central,0.915,0,326,2,False,none
2024-09-17,CaaS-Node-Type-C,22.12,23.06,Southwest,0.917,0,243,1,False,none
2024-09-19,CaaS-Node-Type-C,23.12,24.06,Midwest,0.953,3,135,2,False,none
2024-09-19,CaaS-Node-Type-C,23.06,23.12,Midwest,0.923,0,320,0,False,none
2024-09-20,CaaS-Node-Type-B,23.12,24.06,Northwest,0.873,0,191,0,False,none
2024-09-20,CaaS-Node-Type-B,24.01,24.12,Northeast,0.818,2,153,1,False,none
2024-09-21,CaaS-Node-Type-A,23.06,24.01,South_Central,0.91,1,311,0,False,none
2024-09-21,CaaS-Node-Type-B,22.12,23.06,Southwest,0.872,0,283,8,False,none
2024-09-23,CaaS-Node-Type-C,24.01,24.12,Midwest,0.93,0,219,4,False,none
2024-09-23,CaaS-Node-Type-A,24.06,24.12,Northwest,0.898,2,197,3,False,none
2024-09-23,CaaS-Node-Type-B,24.06,24.12,Southeast,0.864,0,232,2,False,none
2024-09-23,CaaS-Node-Type-C,24.01,24.12,Southeast,0.924,1,380,0,False,none
2024-09-24,CaaS-Node-Type-A,22.12,23.12,Midwest,0.908,0,276,0,False,none
2024-09-24,CaaS-Node-Type-A,24.01,24.12,Northwest,0.897,1,328,2,False,none
2024-09-24,CaaS-Node-Type-B,23.06,24.01,Northwest,0.55,0,126,5,False,none
2024-09-24,CaaS-Node-Type-A,24.01,24.12,Northeast,0.832,0,351,2,False,none
2024-09-25,CaaS-Node-Type-A,23.06,24.01,Northwest,0.891,0,178,3,False,none
2024-09-25,CaaS-Node-Type-A,24.06,24.12,Northwest,0.918,0,338,3,False,none
2024-09-26,CaaS-Node-Type-C,23.06,23.12,Southeast,0.938,0,276,4,False,none
2024-09-26,CaaS-Node-Type-B,23.06,23.12,South_Central,0.55,0,294,4,False,none
2024-09-27,CaaS-Node-Type-C,24.01,24.06,Northeast,0.832,1,322,2,False,none
2024-09-27,CaaS-Node-Type-C,23.06,24.01,Northeast,0.837,1,183,0,False,none
2024-09-27,CaaS-Node-Type-A,23.06,23.12,South_Central,0.952,3,146,1,False,none
2024-09-27,CaaS-Node-Type-B,24.06,24.12,Northwest,0.882,1,250,0,False,none
2024-09-28,CaaS-Node-Type-A,22.12,23.06,Southeast,0.915,2,181,2,False,none
2024-09-28,CaaS-Node-Type-B,22.12,23.12,Northwest,0.905,0,213,0,False,none
2024-09-28,CaaS-Node-Type-A,23.12,24.01,Northwest,0.945,2,197,4,False,none
2024-09-28,CaaS-Node-Type-A,23.12,24.01,Southwest,0.907,0,182,1,False,none
2024-09-29,CaaS-Node-Type-B,23.06,23.12,Southwest,0.55,0,157,0,False,none
2024-09-29,CaaS-Node-Type-C,23.06,24.01,Northeast,0.832,0,304,0,False,none
2024-09-29,CaaS-Node-Type-A,24.01,24.06,Northwest,0.923,0,308,0,False,none
2024-09-30,CaaS-Node-Type-C,22.12,23.06,Southwest,0.917,0,193,0,False,none
2024-10-01,CaaS-Node-Type-A,22.12,23.12,Midwest,0.901,1,192,3,False,none
2024-10-01,CaaS-Node-Type-C,22.12,23.12,Midwest,0.894,0,223,3,False,none
2024-10-02,CaaS-Node-Type-B,22.12,23.06,Southwest,0.879,2,343,1,False,none
2024-10-03,CaaS-Node-Type-B,24.01,24.12,Southeast,0.909,0,189,0,False,none
2024-10-03,CaaS-Node-Type-B,22.12,23.12,Northeast,0.859,1,213,3,False,none
2024-10-04,CaaS-Node-Type-C,22.12,23.12,Northeast,0.895,0,190,0,False,none
2024-10-05,CaaS-Node-Type-A,23.12,24.06,Northwest,0.888,1,148,3,False,none
2024-10-05,CaaS-Node-Type-C,23.12,24.01,Northeast,0.851,0,163,0,False,none
2024-10-05,CaaS-Node-Type-B,24.06,24.12,Southeast,0.884,0,340,4,False,none
2024-10-05,CaaS-Node-Type-B,23.06,24.01,South_Central,0.55,2,196,0,False,none
2024-10-06,CaaS-Node-Type-A,24.01,24.12,Midwest,0.908,0,327,4,False,none
2024-10-06,CaaS-Node-Type-B,24.06,24.12,Southwest,0.902,1,245,3,False,none
2024-10-06,CaaS-Node-Type-C,24.06,24.12,Southwest,0.903,0,332,2,False,none
2024-10-06,CaaS-Node-Type-C,23.12,24.06,Southeast,0.891,0,187,0,False,none
2024-10-08,CaaS-Node-Type-A,23.06,24.01,Midwest,0.929,0,373,2,False,none
2024-10-09,CaaS-Node-Type-A,24.01,24.12,Northwest,0.948,0,191,2,False,none
2024-10-09,CaaS-Node-Type-A,23.12,24.06,Southeast,0.915,0,271,3,False,none
2024-10-09,CaaS-Node-Type-A,23.06,23.12,Northeast,0.877,0,244,0,False,none
2024-10-09,CaaS-Node-Type-C,23.12,24.06,Northeast,0.905,1,170,0,False,none
2024-10-10,CaaS-Node-Type-A,23.12,24.01,South_Central,0.936,0,143,0,False,none
2024-10-10,CaaS-Node-Type-B,24.01,24.06,Northeast,0.808,0,148,4,False,none
2024-10-11,CaaS-Node-Type-C,22.12,23.06,Northeast,0.858,2,318,0,False,none
2024-10-12,CaaS-Node-Type-A,23.12,24.01,Midwest,0.889,2,289,2,False,none
2024-10-12,CaaS-Node-Type-C,22.12,23.06,Southeast,0.891,1,310,1,False,none
2024-10-13,CaaS-Node-Type-A,24.01,24.06,Midwest,0.946,3,338,1,False,none
2024-10-14,CaaS-Node-Type-C,23.06,24.01,Northeast,0.861,2,138,4,False,none
2024-10-14,CaaS-Node-Type-C,23.12,24.06,Southwest,0.898,0,312,0,False,none
2024-10-14,CaaS-Node-Type-A,22.12,23.06,Northwest,0.892,3,272,3,False,none
2024-10-14,CaaS-Node-Type-B,22.12,23.06,Northwest,0.907,0,208,8,False,none
2024-10-15,CaaS-Node-Type-A,24.01,24.12,Southeast,0.946,0,182,0,False,none
2024-10-15,CaaS-Node-Type-B,24.01,24.06,Northeast,0.857,3,272,1,False,none
2024-10-15,CaaS-Node-Type-A,24.06,24.12,Midwest,0.928,0,284,0,False,none
2024-10-15,CaaS-Node-Type-B,22.12,23.06,Northwest,0.881,1,280,0,False,none
2024-10-16,CaaS-Node-Type-A,23.12,24.01,Southwest,0.958,0,238,1,False,none
2024-10-16,CaaS-Node-Type-B,24.01,24.12,South_Central,0.898,0,370,0,False,none
2024-10-16,CaaS-Node-Type-C,24.01,24.06,Southwest,0.924,0,148,0,False,none
2024-10-16,CaaS-Node-Type-A,24.01,24.06,Southeast,0.951,0,263,0,False,none
2024-10-17,CaaS-Node-Type-C,24.01,24.12,Southwest,0.92,0,289,0,False,none
2024-10-17,CaaS-Node-Type-C,23.12,24.06,Southwest,0.913,0,287,0,False,none
2024-10-18,CaaS-Node-Type-C,22.12,23.06,Southwest,0.9,0,353,2,False,none
2024-10-18,CaaS-Node-Type-B,23.12,24.01,Northeast,0.851,0,317,3,False,none
2024-10-18,CaaS-Node-Type-B,24.06,24.12,Southwest,0.851,0,375,1,False,none
2024-10-19,CaaS-Node-Type-B,24.06,24.12,Midwest,0.887,1,334,0,False,none
2024-10-19,CaaS-Node-Type-A,24.06,24.12,South_Central,0.908,0,243,0,False,none
2024-10-19,CaaS-Node-Type-A,23.12,24.01,Midwest,0.89,1,240,1,False,none
2024-10-20,CaaS-Node-Type-C,23.12,24.06,South_Central,0.886,0,329,4,False,none
2024-10-20,CaaS-Node-Type-A,22.12,23.06,Northwest,0.935,2,135,3,False,none
2024-10-20,CaaS-Node-Type-A,23.12,24.01,Northeast,0.881,0,243,1,False,none
2024-10-20,CaaS-Node-Type-B,23.12,24.06,Southwest,0.886,0,237,1,False,none
2024-10-20,CaaS-Node-Type-B,22.12,23.06,Northwest,0.906,2,342,3,False,none
2024-10-21,CaaS-Node-Type-B,23.12,24.01,South_Central,0.866,0,370,0,False,none
2024-10-21,CaaS-Node-Type-C,23.12,24.01,Southwest,0.942,0,164,1,False,none
2024-10-21,CaaS-Node-Type-A,22.12,23.06,Southwest,0.898,0,170,5,False,none
2024-10-23,CaaS-Node-Type-B,23.06,23.12,Northeast,0.55,1,334,1,False,none
2024-10-24,CaaS-Node-Type-B,24.06,24.12,Midwest,0.86,0,336,2,False,none
2024-10-25,CaaS-Node-Type-B,24.01,24.06,Southeast,0.884,2,168,0,False,none
2024-10-25,CaaS-Node-Type-B,23.12,24.01,Northwest,0.903,0,362,0,False,none
2024-10-25,CaaS-Node-Type-C,22.12,23.06,Southwest,0.953,0,345,1,False,none
2024-10-26,CaaS-Node-Type-B,22.12,23.12,South_Central,0.888,0,239,5,False,none
2024-10-26,CaaS-Node-Type-A,24.06,24.12,South_Central,0.911,2,222,0,False,none
2024-10-26,CaaS-Node-Type-C,23.06,24.01,South_Central,0.893,0,300,3,False,none
2024-10-26,CaaS-Node-Type-B,22.12,23.06,Northwest,0.873,0,174,3,False,none
2024-10-26,CaaS-Node-Type-A,23.12,24.06,Southwest,0.944,0,341,3,False,none
2024-10-26,CaaS-Node-Type-C,24.06,24.12,Northeast,0.856,1,124,1,False,none
2024-10-26,CaaS-Node-Type-B,23.12,24.06,Northwest,0.876,2,368,0,False,none
2024-10-26,CaaS-Node-Type-A,24.01,24.06,South_Central,0.925,0,289,4,False,none
2024-10-28,CaaS-Node-Type-A,22.12,23.12,Northeast,0.892,0,221,0,False,none
2024-10-29,CaaS-Node-Type-B,24.01,24.12,Midwest,0.856,1,253,0,False,none
2024-10-31,CaaS-Node-Type-B,23.06,24.01,Southwest,0.55,1,357,0,False,none
2024-11-01,CaaS-Node-Type-B,22.12,23.12,Southeast,0.894,0,223,2,False,none
2024-11-01,CaaS-Node-Type-B,23.12,24.06,Southwest,0.913,1,343,0,False,none
2024-11-01,CaaS-Node-Type-C,24.01,24.06,South_Central,0.915,1,236,3,False,none
2024-11-01,CaaS-Node-Type-A,23.06,23.12,Northeast,0.881,2,155,1,False,none
2024-11-02,CaaS-Node-Type-C,24.01,24.12,Southeast,0.934,0,147,0,False,none
2024-11-03,CaaS-Node-Type-B,22.12,23.06,Northwest,0.901,2,182,0,False,none
2024-11-04,CaaS-Node-Type-C,23.06,24.01,Midwest,0.927,0,191,2,False,none
2024-11-05,CaaS-Node-Type-B,23.12,24.06,Northeast,0.859,0,246,0,False,none
