site_id,region,state,lat,lon,site_type,device_type,current_firmware,target_firmware,device_age_months,incident_count_12m,last_cert_status,last_cert_date,schema_version,ansible_version,openshift_version,vendor_sla_tier,risk_score,risk_tier,wave_assignment
VZ-NO-WOR-00031,Northeast,MA,42.1865,-71.1945,urban_macro,CaaS-Node-Type-B,23.06,24.12,42,8,CONDITIONAL_PASS,2025-12-07,v1.13.0,2.13.7,4.16.1,platinum,0.897,critical,wave_3
VZ-NO-NWK-00032,Northeast,NJ,40.8827,-74.5102,suburban,CaaS-Node-Type-B,24.06,24.12,28,6,CONDITIONAL_PASS,2025-08-14,v1.15.0,2.15.1,4.16.1,premium,0.837,critical,wave_3
VZ-NO-BOS-00033,Northeast,MA,42.4641,-71.238,suburban,CaaS-Node-Type-B,23.06,24.12,8,5,FAIL,2025-11-20,v1.13.0,2.15.1,4.14.10,standard,0.798,critical,wave_3
VZ-NO-WOR-00034,Northeast,MA,42.4173,-71.118,dense_urban,CaaS-Node-Type-B,24.06,24.12,26,7,CONDITIONAL_PASS,2025-07-27,v1.15.0,2.14.3,4.16.1,standard,0.858,critical,wave_3
VZ-NO-WOR-00035,Northeast,MA,42.0898,-71.7908,urban_macro,CaaS-Node-Type-B,24.06,24.12,37,6,PASS,2025-12-23,v1.15.0,2.15.1,4.13.8,standard,0.844,critical,wave_3
VZ-NO-NYC-00036,Northeast,NY,41.0662,-73.6816,urban_macro,CaaS-Node-Type-C,23.12,24.12,52,7,CONDITIONAL_PASS,2025-07-15,v1.14.0,2.15.1,4.16.1,standard,0.838,critical,wave_3
VZ-NO-BUR-00037,Northeast,VT,44.5618,-72.8071,rural_remote,CaaS-Node-Type-B,24.06,24.12,40,6,PASS,2025-08-24,v1.15.0,2.15.1,4.14.2,premium,0.835,critical,wave_3
VZ-NO-PIT-00038,Northeast,PA,40.6798,-79.9767,urban_macro,CaaS-Node-Type-B,23.06,24.12,25,6,FAIL,2025-09-11,v1.13.0,2.15.4,4.12.4,standard,0.751,critical,wave_3
VZ-NO-PHL-00039,Northeast,PA,39.8473,-75.4777,rural_remote,CaaS-Node-Type-B,23.06,24.12,34,6,FAIL,2025-07-07,v1.13.0,2.15.1,4.15.5,platinum,0.809,critical,wave_3
VZ-NO-NYC-00040,Northeast,NY,41.0339,-73.767,suburban,CaaS-Node-Type-B,23.06,24.12,8,5,FAIL,2025-10-18,v1.13.0,2.15.4,4.15.5,premium,0.785,critical,wave_3
VZ-NO-POR-00041,Northeast,ME,43.4066,-70.3145,suburban,CaaS-Node-Type-B,23.06,24.12,29,8,CONDITIONAL_PASS,2025-08-27,v1.13.0,2.14.3,4.15.5,standard,0.789,critical,wave_3
VZ-NO-HFD-00042,Northeast,CT,41.8485,-72.5267,urban_macro,CaaS-Node-Type-B,23.06,24.12,35,4,PASS,2025-09-13,v1.13.0,2.15.1,4.14.2,standard,0.718,critical,wave_3
VZ-NO-HFD-00043,Northeast,CT,41.5662,-72.2673,suburban,CaaS-Node-Type-B,23.06,24.12,13,6,FAIL,2025-09-08,v1.13.0,2.16.0,4.12.4,premium,0.833,critical,wave_3
VZ-NO-PHL-00044,Northeast,PA,39.682,-75.5969,suburban,CaaS-Node-Type-B,23.06,24.12,16,6,CONDITIONAL_PASS,2025-08-15,v1.13.0,2.14.10,4.13.8,premium,0.84,critical,wave_3
VZ-NO-ROC-00045,Northeast,NY,43.4066,-77.9114,dense_urban,CaaS-Node-Type-B,23.06,24.12,45,3,PASS,2025-10-13,v1.13.0,2.14.3,4.12.4,standard,0.844,critical,wave_3
VZ-NO-PHL-00046,Northeast,PA,39.5943,-74.92,suburban,CaaS-Node-Type-B,23.06,24.12,44,3,FAIL,2025-09-03,v1.13.0,2.14.10,4.12.4,premium,0.797,critical,wave_3
VZ-NO-POR-00047,Northeast,ME,43.3041,-69.8421,urban_macro,CaaS-Node-Type-B,23.06,24.12,37,8,FAIL,2025-11-21,v1.13.0,2.15.4,4.14.10,standard,0.716,critical,wave_3
VZ-NO-PIT-00048,Northeast,PA,40.2807,-80.225,suburban,CaaS-Node-Type-A,24.01,24.12,56,6,CONDITIONAL_PASS,2025-09-01,v1.14.0,2.14.10,4.13.8,standard,0.874,critical,wave_3
VZ-NO-TRN-00049,Northeast,NJ,40.3263,-74.5494,suburban,CaaS-Node-Type-B,23.12,24.12,8,7,PASS,2025-12-14,v1.14.0,2.14.3,4.16.1,standard,0.687,critical,wave_3
VZ-NO-POR-00050,Northeast,ME,43.6125,-70.6913,suburban,CaaS-Node-Type-B,23.06,24.12,33,8,FAIL,2025-09-16,v1.13.0,2.14.10,4.14.10,platinum,0.872,critical,wave_3
VZ-NO-BUR-00051,Northeast,VT,44.3236,-73.0295,suburban,CaaS-Node-Type-B,23.06,24.12,24,4,FAIL,2025-07-24,v1.13.0,2.16.0,4.13.8,standard,0.722,critical,wave_3
VZ-NO-POR-00052,Northeast,ME,43.4579,-70.1762,suburban,CaaS-Node-Type-B,24.12,24.12,20,5,FAIL,2025-07-23,v1.16.0,2.14.10,4.12.4,platinum,0.717,critical,wave_3
VZ-NO-BUR-00053,Northeast,VT,44.2888,-72.8124,suburban,CaaS-Node-Type-B,23.06,24.12,56,6,FAIL,2025-09-16,v1.13.0,2.14.10,4.13.8,platinum,0.664,critical,wave_3
VZ-NO-PIT-00054,Northeast,PA,40.8376,-80.0159,urban_macro,CaaS-Node-Type-B,23.06,24.12,48,8,FAIL,2025-11-10,v1.13.0,2.14.3,4.12.4,standard,0.708,critical,wave_3
VZ-NO-NHV-00055,Northeast,CT,41.404,-72.6662,urban_macro,CaaS-Node-Type-B,23.06,24.12,41,6,CONDITIONAL_PASS,2025-11-14,v1.13.0,2.15.4,4.12.4,premium,0.802,critical,wave_3
VZ-NO-ROC-00056,Northeast,NY,43.5594,-77.8718,urban_macro,CaaS-Node-Type-B,23.06,24.12,50,3,FAIL,2025-07-06,v1.13.0,2.15.1,4.16.1,standard,0.716,critical,wave_3
VZ-NO-HBG-00057,Northeast,PA,39.8526,-77.0774,suburban,CaaS-Node-Type-B,23.06,24.12,37,3,CONDITIONAL_PASS,2025-12-19,v1.13.0,2.14.3,4.14.10,standard,0.956,critical,wave_3
VZ-NO-PHL-00058,Northeast,PA,40.0855,-74.7976,urban_macro,CaaS-Node-Type-A,23.06,24.12,27,7,CONDITIONAL_PASS,2025-09-15,v1.13.0,2.16.0,4.14.2,premium,0.842,critical,wave_3
VZ-NO-PIT-00059,Northeast,PA,40.441,-80.0015,urban_macro,CaaS-Node-Type-B,23.06,24.12,10,6,CONDITIONAL_PASS,2025-07-03,v1.13.0,2.16.0,4.15.5,standard,0.853,critical,wave_3
VZ-NO-NYC-00060,Northeast,NY,41.1624,-73.8509,dense_urban,CaaS-Node-Type-B,23.06,24.12,10,4,CONDITIONAL_PASS,2025-09-06,v1.13.0,2.15.1,4.16.1,premium,0.868,critical,wave_3
VZ-NO-QNS-00061,Northeast,NY,40.703,-74.0177,dense_urban,CaaS-Node-Type-B,23.06,24.12,14,4,FAIL,2025-09-22,v1.13.0,2.15.4,4.12.4,standard,0.882,critical,wave_3
VZ-NO-NWK-00062,Northeast,NJ,40.5129,-74.5181,suburban,CaaS-Node-Type-C,24.06,24.12,8,8,PASS,2025-07-07,v1.15.0,2.15.4,4.14.10,premium,0.808,critical,wave_3
VZ-NO-BKN-00063,Northeast,NY,40.4114,-73.8999,urban_macro,CaaS-Node-Type-B,24.06,24.12,15,3,PASS,2025-08-23,v1.15.0,2.15.4,4.12.4,standard,0.855,critical,wave_3
VZ-NO-QNS-00064,Northeast,NY,40.4822,-73.6279,suburban,CaaS-Node-Type-B,23.06,24.12,15,8,PASS,2025-12-10,v1.13.0,2.14.10,4.14.10,premium,0.819,critical,wave_3
VZ-NO-POR-00065,Northeast,ME,43.4285,-70.2107,rural_remote,CaaS-Node-Type-B,23.06,24.12,46,7,CONDITIONAL_PASS,2025-07-09,v1.13.0,2.15.1,4.14.2,platinum,0.704,critical,wave_3
VZ-NO-MAN-00066,Northeast,NH,42.7861,-71.9025,suburban,CaaS-Node-Type-B,23.06,24.12,45,7,PASS,2025-08-15,v1.13.0,2.14.10,4.14.2,standard,0.817,critical,wave_3
VZ-NO-BUR-00067,Northeast,VT,44.3654,-72.8225,suburban,CaaS-Node-Type-C,23.12,24.12,32,4,PASS,2025-09-24,v1.14.0,2.15.1,4.14.10,platinum,0.791,critical,wave_3
VZ-NO-BUF-00068,Northeast,NY,42.8822,-79.2951,suburban,CaaS-Node-Type-B,23.06,24.12,45,5,PASS,2025-10-04,v1.13.0,2.15.1,4.12.4,premium,0.94,critical,wave_3
VZ-NO-NHV-00069,Northeast,CT,41.6421,-72.5049,rural_remote,CaaS-Node-Type-B,23.06,24.12,58,5,FAIL,2025-12-03,v1.13.0,2.16.0,4.15.5,standard,0.882,critical,wave_3
VZ-NO-NWK-00070,Northeast,NJ,40.8498,-73.8237,dense_urban,CaaS-Node-Type-B,23.06,24.12,42,3,CONDITIONAL_PASS,2025-12-10,v1.13.0,2.16.0,4.12.4,standard,0.735,critical,wave_3
VZ-NO-ROC-00071,Northeast,NY,43.3909,-77.4253,urban_macro,CaaS-Node-Type-B,23.06,24.12,18,8,FAIL,2025-09-26,v1.13.0,2.14.10,4.14.2,standard,0.669,critical,wave_3
VZ-NO-PHL-00072,Northeast,PA,39.9806,-75.1059,urban_macro,CaaS-Node-Type-A,23.06,24.12,32,7,CONDITIONAL_PASS,2025-11-05,v1.13.0,2.16.0,4.14.2,standard,0.819,critical,wave_3
VZ-NO-NYC-00073,Northeast,NY,41.0718,-74.0373,suburban,CaaS-Node-Type-B,23.06,24.12,42,4,FAIL,2025-11-10,v1.13.0,2.15.1,4.16.1,standard,0.962,critical,wave_3
VZ-NO-HBG-00074,Northeast,PA,40.0025,-76.9905,urban_macro,CaaS-Node-Type-B,23.06,24.12,23,6,CONDITIONAL_PASS,2025-12-10,v1.13.0,2.16.0,4.14.10,standard,0.844,critical,wave_3
VZ-NO-BKN-00075,Northeast,NY,41.0478,-73.7235,urban_macro,CaaS-Node-Type-C,24.06,24.12,22,7,PASS,2025-08-20,v1.15.0,2.16.0,4.16.1,premium,0.73,critical,wave_3
VZ-NO-BUF-00076,Northeast,NY,43.0018,-78.5153,dense_urban,CaaS-Node-Type-B,23.06,24.12,27,6,FAIL,2025-08-03,v1.13.0,2.14.10,4.16.1,standard,0.777,critical,wave_3
VZ-NO-WOR-00077,Northeast,MA,42.0761,-71.3469,rural_remote,CaaS-Node-Type-B,24.12,24.12,18,5,PASS,2025-09-24,v1.16.0,2.13.7,4.14.10,platinum,0.962,critical,wave_3
VZ-NO-BUF-00078,Northeast,NY,43.1151,-79.1253,rural_remote,CaaS-Node-Type-B,23.06,24.12,51,6,PASS,2025-09-03,v1.13.0,2.13.7,4.14.2,standard,0.917,critical,wave_3
VZ-NO-PVD-00079,Northeast,RI,41.7057,-71.1887,urban_macro,CaaS-Node-Type-B,23.06,24.12,32,8,PASS,2025-08-16,v1.13.0,2.15.4,4.14.2,platinum,0.695,critical,wave_3
VZ-NO-PHL-00080,Northeast,PA,40.0855,-75.0433,urban_macro,CaaS-Node-Type-B,23.06,24.12,52,5,CONDITIONAL_PASS,2025-07-02,v1.13.0,2.15.1,4.12.4,standard,0.697,critical,wave_3
VZ-NO-BUR-00081,Northeast,VT,44.148,-73.2538,urban_macro,CaaS-Node-Type-B,23.06,24.12,55,8,PASS,2025-12-24,v1.13.0,2.15.1,4.16.1,standard,0.794,critical,wave_3
VZ-NO-POR-00082,Northeast,ME,43.7632,-69.8617,urban_macro,CaaS-Node-Type-B,23.06,24.12,52,5,FAIL,2025-08-28,v1.13.0,2.16.0,4.14.2,standard,0.802,critical,wave_3
VZ-NO-TRN-00083,Northeast,NJ,39.6628,-74.6074,rural_remote,CaaS-Node-Type-C,24.06,24.12,13,8,FAIL,2025-07-02,v1.15.0,2.14.3,4.13.8,premium,0.865,critical,wave_3
VZ-NO-WOR-00084,Northeast,MA,42.0189,-71.1438,urban_macro,CaaS-Node-Type-B,23.06,24.12,21,4,FAIL,2025-11-01,v1.13.0,2.14.3,4.13.8,standard,0.707,critical,wave_3
VZ-NO-BOS-00085,Northeast,MA,42.009,-70.7291,urban_macro,CaaS-Node-Type-B,23.06,24.12,30,4,CONDITIONAL_PASS,2025-09-02,v1.13.0,2.15.1,4.15.5,standard,0.665,critical,wave_3
VZ-NO-QNS-00086,Northeast,NY,40.7086,-73.685,rural_remote,CaaS-Node-Type-B,23.06,24.12,14,6,CONDITIONAL_PASS,2025-07-24,v1.13.0,2.16.0,4.15.5,standard,0.963,critical,wave_3
VZ-NO-NYC-00087,Northeast,NY,40.3175,-74.0249,urban_macro,CaaS-Node-Type-B,23.06,24.12,51,3,CONDITIONAL_PASS,2025-07-03,v1.13.0,2.14.3,4.12.4,standard,0.951,critical,wave_3
VZ-NO-BUR-00088,Northeast,VT,44.6668,-73.3193,rural_remote,CaaS-Node-Type-B,23.06,24.12,26,6,CONDITIONAL_PASS,2025-12-04,v1.13.0,2.16.0,4.15.5,premium,0.798,critical,wave_3
VZ-NO-WOR-00089,Northeast,MA,42.3443,-71.0331,suburban,CaaS-Node-Type-B,23.06,24.12,37,6,CONDITIONAL_PASS,2025-10-11,v1.13.0,2.14.10,4.13.8,premium,0.69,critical,wave_3
VZ-NO-POR-00090,Northeast,ME,43.2695,-69.9582,suburban,CaaS-Node-Type-B,23.06,24.12,14,8,CONDITIONAL_PASS,2025-11-02,v1.13.0,2.15.4,4.15.5,standard,0.92,critical,wave_3
VZ-NO-ROC-00091,Northeast,NY,43.0763,-77.2726,urban_macro,CaaS-Node-Type-B,24.12,24.12,11,5,CONDITIONAL_PASS,2025-11-17,v1.16.0,2.16.0,4.14.10,standard,0.773,critical,wave_3
VZ-NO-ROC-00092,Northeast,NY,43.0217,-77.5582,rural_remote,CaaS-Node-Type-B,23.06,24.12,25,7,FAIL,2025-11-25,v1.13.0,2.15.4,4.16.1,premium,0.797,critical,wave_3
VZ-NO-NYC-00093,Northeast,NY,40.8109,-73.864,urban_macro,CaaS-Node-Type-B,23.06,24.12,9,4,FAIL,2025-09-12,v1.13.0,2.14.3,4.15.5,premium,0.904,critical,wave_3
VZ-NO-QNS-00094,Northeast,NY,40.4077,-73.8153,urban_macro,CaaS-Node-Type-B,23.06,24.12,55,7,FAIL,2025-09-06,v1.13.0,2.16.0,4.14.2,premium,0.794,critical,wave_3
VZ-NO-QNS-00095,Northeast,NY,41.075,-74.2452,urban_macro,CaaS-Node-Type-A,23.06,24.12,36,8,CONDITIONAL_PASS,2025-10-09,v1.13.0,2.15.4,4.12.4,standard,0.854,critical,wave_3
VZ-NO-ROC-00096,Northeast,NY,42.9615,-77.4482,urban_macro,CaaS-Node-Type-B,23.06,24.12,50,5,FAIL,2025-11-02,v1.13.0,2.14.10,4.13.8,premium,0.786,critical,wave_3
VZ-NO-PIT-00097,Northeast,PA,40.2511,-80.3379,suburban,CaaS-Node-Type-B,23.06,24.12,35,4,FAIL,2025-08-17,v1.13.0,2.16.0,4.14.2,standard,0.83,critical,wave_3
VZ-NO-BKN-00098,Northeast,NY,40.6208,-73.9804,urban_macro,CaaS-Node-Type-B,23.06,24.12,28,7,CONDITIONAL_PASS,2025-12-14,v1.13.0,2.15.1,4.12.4,platinum,0.789,critical,wave_3
VZ-NO-BOS-00099,Northeast,MA,42.6313,-70.9526,rural_remote,CaaS-Node-Type-C,23.06,24.12,14,4,CONDITIONAL_PASS,2025-07-13,v1.13.0,2.16.0,4.14.2,standard,0.788,critical,wave_3
VZ-NO-BOS-00100,Northeast,MA,41.9788,-70.939,urban_macro,CaaS-Node-Type-B,23.06,24.12,20,5,CONDITIONAL_PASS,2025-12-27,v1.13.0,2.13.7,4.13.8,standard,0.967,critical,wave_3
VZ-NO-BOS-00101,Northeast,MA,42.4523,-70.8247,suburban,CaaS-Node-Type-B,23.06,24.12,19,8,CONDITIONAL_PASS,2025-11-15,v1.13.0,2.15.4,4.16.1,premium,0.901,critical,wave_3
VZ-NO-NWK-00102,Northeast,NJ,41.0635,-74.0579,urban_macro,CaaS-Node-Type-B,23.06,24.12,12,6,CONDITIONAL_PASS,2025-09-19,v1.13.0,2.15.4,4.12.4,standard,0.757,critical,wave_3
VZ-NO-PVD-00103,Northeast,RI,41.4078,-71.5309,suburban,CaaS-Node-Type-B,23.06,24.12,49,3,CONDITIONAL_PASS,2025-10-19,v1.13.0,2.16.0,4.12.4,standard,0.822,critical,wave_3
VZ-NO-WOR-00104,Northeast,MA,42.2466,-71.4043,urban_macro,CaaS-Node-Type-B,23.06,24.12,11,6,FAIL,2025-09-23,v1.13.0,2.16.0,4.13.8,standard,0.948,critical,wave_3
VZ-NO-PVD-00105,Northeast,RI,42.2659,-71.3911,suburban,CaaS-Node-Type-B,23.06,24.12,31,5,PASS,2025-09-22,v1.13.0,2.16.0,4.16.1,standard,0.784,critical,wave_3
VZ-NO-NWK-00106,Northeast,NJ,40.3708,-74.0119,urban_macro,CaaS-Node-Type-B,23.06,24.12,54,8,PASS,2025-08-11,v1.13.0,2.16.0,4.13.8,platinum,0.853,critical,wave_3
VZ-NO-HBG-00107,Northeast,PA,40.6941,-76.7081,rural_remote,CaaS-Node-Type-B,23.06,24.12,46,8,PASS,2025-10-21,v1.13.0,2.14.3,4.16.1,premium,0.759,critical,wave_3
VZ-NO-MAN-00108,Northeast,NH,42.6297,-71.3014,suburban,CaaS-Node-Type-B,23.06,24.12,9,5,FAIL,2025-09-25,v1.13.0,2.14.3,4.13.8,standard,0.964,critical,wave_3
VZ-NO-HBG-00109,Northeast,PA,40.5832,-77.2457,urban_macro,CaaS-Node-Type-C,24.12,24.12,10,8,FAIL,2025-08-20,v1.16.0,2.14.3,4.13.8,premium,0.905,critical,wave_3
VZ-NO-BOS-00110,Northeast,MA,42.5592,-71.4696,urban_macro,CaaS-Node-Type-B,23.06,24.12,54,4,PASS,2025-12-26,v1.13.0,2.15.4,4.13.8,standard,0.855,critical,wave_3
VZ-NO-POR-00111,Northeast,ME,44.0227,-70.5322,suburban,CaaS-Node-Type-B,23.06,24.12,44,6,CONDITIONAL_PASS,2025-10-17,v1.13.0,2.14.3,4.13.8,premium,0.75,critical,wave_3
VZ-NO-BUF-00112,Northeast,NY,43.2221,-79.2814,urban_macro,CaaS-Node-Type-B,23.06,24.12,31,7,PASS,2025-11-28,v1.13.0,2.13.7,4.13.8,standard,0.888,critical,wave_3
VZ-NO-MAN-00113,Northeast,NH,42.6782,-71.5111,urban_macro,CaaS-Node-Type-A,24.01,24.12,30,3,CONDITIONAL_PASS,2025-09-08,v1.14.0,2.13.7,4.14.2,standard,0.787,critical,wave_3
VZ-NO-NWK-00114,Northeast,NJ,41.1234,-73.8671,rural_remote,CaaS-Node-Type-B,23.06,24.12,58,4,FAIL,2025-10-23,v1.13.0,2.16.0,4.14.10,standard,0.752,critical,wave_3
VZ-NO-NYC-00115,Northeast,NY,41.0781,-74.4389,rural_remote,CaaS-Node-Type-B,23.06,24.12,17,7,PASS,2025-10-04,v1.13.0,2.14.3,4.14.2,standard,0.855,critical,wave_3
VZ-NO-PHL-00116,Northeast,PA,39.8804,-74.9007,urban_macro,CaaS-Node-Type-B,23.06,24.12,15,6,CONDITIONAL_PASS,2025-11-19,v1.13.0,2.14.3,4.14.2,standard,0.665,critical,wave_3
VZ-NO-TRN-00117,Northeast,NJ,39.8248,-74.4808,suburban,CaaS-Node-Type-B,23.06,24.12,13,7,PASS,2025-11-18,v1.13.0,2.15.4,4.15.5,standard,0.682,critical,wave_3
VZ-NO-POR-00118,Northeast,ME,43.2483,-70.3586,suburban,CaaS-Node-Type-B,23.06,24.12,55,3,CONDITIONAL_PASS,2025-08-24,v1.13.0,2.13.7,4.15.5,premium,0.682,critical,wave_3
VZ-NO-NWK-00119,Northeast,NJ,40.4058,-74.3053,suburban,CaaS-Node-Type-B,23.06,24.12,49,4,PASS,2025-12-16,v1.13.0,2.14.3,4.12.4,premium,0.879,critical,wave_3
VZ-NO-PVD-00120,Northeast,RI,41.4073,-71.6814,urban_macro,CaaS-Node-Type-C,23.12,24.12,27,7,CONDITIONAL_PASS,2025-10-09,v1.14.0,2.16.0,4.13.8,standard,0.921,critical,wave_3
VZ-NO-BKN-00121,Northeast,NY,41.0074,-74.0955,dense_urban,CaaS-Node-Type-B,23.06,24.12,31,6,PASS,2025-10-11,v1.13.0,2.15.1,4.16.1,standard,0.898,critical,wave_3
VZ-NO-MAN-00122,Northeast,NH,42.7856,-71.8304,urban_macro,CaaS-Node-Type-B,23.06,24.12,35,7,PASS,2025-09-11,v1.13.0,2.14.10,4.16.1,standard,0.718,critical,wave_3
